tract_id,house_num,shape_area,shape_length,target
06037240402,602,1292391.5412349575,106958.22166277317,0
06037241001,685,1659433.543220702,129862.17212936429,0
06037241002,730,1570342.1972398455,130428.71802756561,0
06037241110,472,1408640.494242066,97646.96882079421,0
06037241201,521,1064142.3470083303,91944.28681618748,0
06037241202,862,2239200.832252438,174519.3581206671,0
06037261101,1602,7381861.949245861,438071.281304134,0
06037261102,1884,8911597.25979631,531382.5738855251,0
06037262302,1033,5158608.45699988,298603.0568526956,0
06037262303,1299,5928461.588301742,367595.17026908736,0
06037262501,1335,4145163.05413434,302085.94907322,0
06037262601,979,4531799.899596905,267717.2206993752,0
06037262604,2335,10006819.629750948,624665.7297958566,0
06037262704,1266,4081552.253564041,276827.1794129716,0
06037262706,1295,4896176.856446546,317909.1858338131,0
06037262802,1478,6492329.211253095,394901.32279687544,0
06037264102,202,1931212.6144899484,84837.59264285708,0
06037264103,116,1513997.988904692,56072.541877788615,0
06037264301,279,2554902.4205452036,120082.34276873874,0
06037264302,949,4509724.727969222,260476.5809852869,0
06037265201,364,1354288.678023122,88044.80525363996,0
06037265202,267,2864533.790376665,95916.4477392291,0
06037265303,78,911340.3760713608,35110.862871602054,0
06037265304,77,535150.9237336732,27047.477735256787,0
06037265305,89,1193334.4279790013,40188.42138196485,0
06037265410,515,1589473.5202405872,114128.50475257676,0
06037265420,621,2162124.9767531985,149527.18048880744,0
06037265510,157,1471716.8538788068,56256.56394068754,0
06037265520,440,2499965.4308283334,126094.01266046044,0
06037265601,459,2070656.0998319776,119239.82902882846,0
06037265602,286,1114923.446964637,67543.57508814477,0
06037267402,288,2248167.9138529007,107388.84822857776,0
06037267403,161,1181344.0748384623,58260.18262217406,0
06037267404,124,1204430.5689678257,49688.34619279523,0
06037267501,303,1967034.411694719,101944.0947909864,0
06037267502,451,1729383.2963495723,108820.5279990811,0
06037267901,205,6814528.197636308,158729.5218000547,0
06037267902,821,2653325.3814544263,181024.91613915085,0
06037269601,323,1848710.1875770863,87797.22546362519,0
06037269904,218,1824414.2259571184,83592.09951821205,0
06037271701,1001,3816740.1706780116,231975.81411263428,0
06037271702,433,2902351.1861473937,133122.17177154525,0
06037271801,480,1897241.7241959476,111063.05770127836,0
06037271802,514,2339747.446527574,129588.5550287828,0
06037271901,591,1898069.0704525197,129698.4676296183,0
06037271902,929,2876227.1616630107,202547.0992958169,0
06037272201,290,965182.7418202579,66062.53892115386,0
06037272202,347,1156809.448753689,79060.41019151354,0
06037272301,686,1815667.234634876,140376.38639952676,0
06037273402,502,2222133.7261886653,122087.69075850418,0
06037273502,563,1696635.038655229,119752.69704439546,0
06037273902,1133,2857254.425059858,219718.5785218668,0
06037274202,583,2911085.778559757,150040.216837022,0
